,tanggal_tweet,pengguna,isi_tweet,sentimen
0,2021-05-10 15:49:01,fwuschia,@panowrama basket?,netral
1,2021-05-10 15:49:00,Sankar53149151,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
2,2021-05-10 15:48:46,fettpet,@WhiskeyLiberty @SammiSueWinters We got t-shirts last year during contract negotiations that had the stupid fist on… https://t.co/GYNYel5zuu,negatif
3,2021-05-10 15:48:33,Chilhon2016Lap,RT @WarnerCanada: ✨ GIVEAWAY ✨ @carysofficial is giving 3️⃣ lucky winners a chance to win a #CARYS gift basket with products and services f…,positif
4,2021-05-10 15:48:26,RGurunt,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
5,2021-05-10 15:48:25,FloraPrints,"RT @ivygh0ul: 12 people currently have this in their basket! that makes today the perfect day to grab yourself one 🥰🖤
https://t.co/8uq2DzBm…",positif
6,2021-05-10 15:48:22,HollikMiklos,RT @BasketsGalore: Today's Gift Basket Of The Day is the 'Travel Birthday Gift' https://t.co/kpQbVXzqPK ✈️Follow &amp; RT to enter #prize draw…,netral
7,2021-05-10 15:48:19,louka_design,"RT @zoompxl: ""Basket-ball"" — Premade Logo

Based on the shape of a shield and the lines of a ball here is the perfect fusion of these two e…",positif
8,2021-05-10 15:48:18,TaeJunSeop,Fruit Basket daaaay,netral
9,2021-05-10 15:48:17,UcheKalu_,"RT @TheUpperEnt: “Yabasi” by @basket_mouth a solid &amp; mind blowing body of work. 

What’s your favorite song off this extraordinary project?…",positif
10,2021-05-10 15:48:15,ItzYeva,you can replace any present with a fruit basket ✋ that shits so good,positif
11,2021-05-10 15:48:06,gregwilliamsABQ,Great video but someone should check in on the pregnant woman behind the basket at 0:15. https://t.co/mO95pqdDJC,positif
12,2021-05-10 15:48:00,anandi1232,"We didn't put our eggs in his basket... We had our suspicion from the beginning, so nothing surprising... Hope karm… https://t.co/uMBsZVtWY4",positif
13,2021-05-10 15:47:54,EllieMarren,RT @BasketsGalore: Today's Gift Basket Of The Day is the 'Travel Birthday Gift' https://t.co/kpQbVXzqPK ✈️Follow &amp; RT to enter #prize draw…,netral
14,2021-05-10 15:47:51,ackrrmns,WAIT i should watch fruits basket on 2x speed but dub cuz i dont know if i can read that fast ?!,positif
15,2021-05-10 15:47:43,Ay7evn,@_xans my bro how much for missguided basket g,positif
16,2021-05-10 15:47:41,FlowerchildRT,RT @FlowerchildRT: A basket of happiness https://t.co/hIPqyeZrdn,positif
17,2021-05-10 15:47:39,_sourgurl,"RT @beautybay: Me: I'm only gonna spend £30

My basket: https://t.co/Gnw6MPRMQl",netral
18,2021-05-10 15:47:38,ziggfunk,"RT @FossGregfoss: Accounting 101

The USD (Fiat) is a liability

The CAD (Fiat) is a first derivative liability

#btc is default insurance…",positif
19,2021-05-10 15:47:18,praba00564,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
20,2021-05-10 15:47:16,gojoballgobbler,"RT @kageyamayams: lemme do this again

hi! i'm new to #anitwt! im a fan mostly of

-jjk
-bnha
-hq
-black clover
-fruits basket

and a lot m…",positif
21,2021-05-10 15:47:15,tinnedtoms,@LakelandUK Thank you! *adds to basket*,netral
22,2021-05-10 15:47:12,porntracking,"@SoftThighsJudge @MinMax3d It’s a burger restaurant. It’s good, if you get fries, your about to get a shit on of th… https://t.co/RFx782Dagp",positif
23,2021-05-10 15:47:11,DickWhitmanBTC,"RT @FossGregfoss: Accounting 101

The USD (Fiat) is a liability

The CAD (Fiat) is a first derivative liability

#btc is default insurance…",positif
24,2021-05-10 15:47:08,lykeelingart,"RT @ivygh0ul: 12 people currently have this in their basket! that makes today the perfect day to grab yourself one 🥰🖤
https://t.co/8uq2DzBm…",positif
25,2021-05-10 15:47:06,evil_mara,"RT @quinncy: “If I take the laundry out of the dryer and put it in the basket and wait long enough, the laundry will become sentient and pu…",negatif
26,2021-05-10 15:47:04,jillpegs,"for fruits basket: starts playing
me: https://t.co/WkvhQYnRbf",netral
27,2021-05-10 15:46:59,gojoballgobbler,"RT @SUNAGOJO: heyyy #anitwt i’m looking for moots who like:

- haikyuu
- jjk
- bnha
- hxh
- assassination classroom
- banana fish
- ao haru…",netral
28,2021-05-10 15:46:59,HellpupMelinda,"RT @rexfieldac: 🧺PICNIC BASKET GIVEAWAY!🧺

Prep for summer with all 6 picnic baskets + 1 million bells!💰

🌿HOW TO ENTER: 
-follow @Neverlan…",netral
29,2021-05-10 15:46:52,lateefbaruwa,@DONJAZZY @basket_mouth nice video,positif
30,2021-05-10 15:46:51,luluchops1,Dear god my shopping basket screams ‘single middle aged lesbian’ https://t.co/PMLQEOyoQf,negatif
31,2021-05-10 15:46:45,DanPackPhotos,WTF is the obsession with charcuterie boards? It's a gift basket on a board instead of in a basket. #mondaythoughts,negatif
32,2021-05-10 15:46:12,hilarydraper,RT @BasketsGalore: Today's Gift Basket Of The Day is the 'Travel Birthday Gift' https://t.co/kpQbVXzqPK ✈️Follow &amp; RT to enter #prize draw…,netral
33,2021-05-10 15:46:03,mikealfred,"Take a look at the recent divergence between the top tier dividend payers like EPD, ENB, MO, T, PRU, CVS, PEP, BMY,… https://t.co/wmWeRIZc27",positif
34,2021-05-10 15:46:01,Yumi4me,"RT @WARPsUP: TV anime #FruitsBasket theme song cover project!
The 2nd episode is ""Fruits Basket"" 1st season 1st opening theme song ""Again""…",netral
35,2021-05-10 15:45:57,Cuiken_Primary,Second session of basket ball in P1 this afternoon! We were using lots of different skills 🤩 🏀 https://t.co/RuEalKfWbq,netral
36,2021-05-10 15:45:54,JudyNagy8,RT @BasketsGalore: Today's Gift Basket Of The Day is the 'Travel Birthday Gift' https://t.co/kpQbVXzqPK ✈️Follow &amp; RT to enter #prize draw…,netral
37,2021-05-10 15:45:44,Cuiken_Primary,Second session of basket ball in P1 this afternoon! We were using lots of different skills 🤩 🏀 https://t.co/sYubGnWPy7,netral
38,2021-05-10 15:45:43,btsslayedmylife,"RT @AniTrendz: Look who glowed up

Anime: Fruits Basket Final Season https://t.co/8bAhL2kyAw",netral
39,2021-05-10 15:45:43,natvuu,Grrr stop putting all the eggs in one basket,negatif
40,2021-05-10 15:45:37,Suri4Ntr,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
41,2021-05-10 15:45:37,eirininiko,"RT @EUinmyRegion: Let’s celebrate #EuropeDay 🇪🇺 together!

Get the chance to win a basket full of regional delicacies with the #EUinmyregio…",positif
42,2021-05-10 15:45:29,aidanmelody54,"RT @aidanmelody54: Put The Loaves In A Basket And Present Them Along With The Bull And The Two Rams,Then Bring Aaron And His Sons To The En…",netral
43,2021-05-10 15:45:29,Cuiken_Primary,Second session of basket ball in P1 this afternoon! We were using lots of different skills 🤩 🏀 https://t.co/UXGDp41YWm,netral
44,2021-05-10 15:45:19,Cuiken_Primary,Second session of basket ball in P1 this afternoon! We were using lots of different skills 🤩 🏀 https://t.co/kDEnfjEhop,netral
45,2021-05-10 15:45:07,Cuiken_Primary,Second session of basket ball in P1 this afternoon! We were using lots of different skills 🤩 🏀 https://t.co/Ec1buMks5C,netral
46,2021-05-10 15:45:05,isthisab0t,RT @DonnieBrascoNYC: @nurunururu1 Says you who doesn’t have a vote in Scotland. Why are you so keen to keep hold of an apparently basket ca…,positif
47,2021-05-10 15:45:02,SpicedChai4,"RT @rexfieldac: 🧺PICNIC BASKET GIVEAWAY!🧺

Prep for summer with all 6 picnic baskets + 1 million bells!💰

🌿HOW TO ENTER: 
-follow @Neverlan…",netral
48,2021-05-10 15:44:56,BackEndDeluxe,wtf @luka7doncic taking swipes at nig’s 🥜’s sir?? Are you a fruit basket or what? Tf is this bush league sh*t https://t.co/1fjrqIeR2I,negatif
49,2021-05-10 15:44:51,DonnieBrascoNYC,@nurunururu1 Says you who doesn’t have a vote in Scotland. Why are you so keen to keep hold of an apparently basket… https://t.co/wHYSNKHM3B,positif
50,2021-05-10 15:44:47,RockyBalbowa,"RT @EuroCup: .@iRob_G showed us what he is capable of during the 2020-21 season...😌🔥

Take a look at 10 great plays!

@ASMonaco_Basket 

#R…",positif
51,2021-05-10 15:44:41,Trish78241878,#prize-draw #win-a gift basket https://t.co/fi5w9baBZJ,netral
52,2021-05-10 15:44:40,RAFI63197287,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
53,2021-05-10 15:44:24,arnelle__,"RT @SiFreeSpirit: My problem with dating is putting all my eggs in one basket. If I like you that’s it, we married in my head 🤷🏾‍♀️",positif
54,2021-05-10 15:44:22,jessieme10,"RT @AniTrendz: 'Fruits Basket' dethrones 'HIGEHIRO' in the latest Spring 2021 Anime Rankings - ending the latter's 3-week reign

https://t.…",positif
55,2021-05-10 15:44:19,kidwolf88,@lauraharleyrose Its yuki from fruits basket 🥰,netral
56,2021-05-10 15:44:18,Rianat_Ade,RT @Goan_Senorita: You Heard It Right!!!! @RevoNetworkapp  is a single basket for all your DeFi needs with NFT marketplace. #RevoToTheMoon…,positif
57,2021-05-10 15:44:15,Etim_Uyoobong,"RT @Iceprincezamani: Dear @basket_mouth , Pls bring back my ‘Saturday Mornings With Papa Benjy’ I have tolerated waiting enough !!! They sa…",netral
58,2021-05-10 15:44:01,BlueSkyTerror,@perpetualdater I got a similar laundry basket; true! XOX AUM.,positif
