Tanggal,Username,Tweet

2021-04-25 12:36:09,dikuunnn,"@rykarlsen Di indo, dpt vaksin aja udh sukur 🤣🤣🤣 krn rebutan pd mau vaksin.. Cm kaum berprivilej yg bs dpt cpt"

"
2021-04-25 12:36:07",nlwtr_,dah dapat vaksin ke?! https://t.co/uhZvhEwRkZ

"
2021-04-25 12:36:05",eiwann98,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:35:36",yusufgunawan,"RT @dewiratnadotid: Tapi ingeten lagi ya, rek... 3M tetep kudu jalan meskipun angka kasus menurun, dan meskipun kamu udah vaksin sekalipun.…"

"
2021-04-25 12:35:32",nrsyfqhathrh,"RT @aliffnaif_: Vaksin lambat dan tak mengutamakan guru dah murid, tapi boleh utama Ahli Parlimen. Sedangkan Parlimen diarah tutup dan seko…"

"
2021-04-25 12:35:27",HesaUpm,"[FORUM VAKSIN PRO]

25 April 2021

Terima kasih kepada ahli panel Program Forum Vaksin Pro iaitu Dr Aini Azeqa, Dr… https://t.co/Nw34dBvmGl"

"
2021-04-25 12:35:26",CurvaJowo,"@rykarlsen Kelar vaksin di Indonesia:
Lanjot kerja🤓"

"
2021-04-25 12:34:56",nazifahothaman,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:34:54",syaffmahashim,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:34:49",kucingoyennn,kudu bgt umroh di vaksin ya🤨

"
2021-04-25 12:34:35",Mxtty_Dxnny,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:34:30",skyjuiceyo12,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:34:30",ChanSukLeng1,"RT @JKJAVMY: Advokasi vaksin COVID-19 bersama @Khairykj
https://t.co/d9umIEf8dW
 
Ketahui lebih lanjut mengenai program imunisasi kebangsaa…"

"
2021-04-25 12:34:22",AmstrongBiring,RT @Beritasatu: Suriah Terima Sumbangan Vaksin Covid-19 dari Tiongkok https://t.co/T2D9PFGfIl https://t.co/G9wAT2wV7i

"
2021-04-25 12:34:16",AidilAmri19,"RT @aliffnaif_: Vaksin lambat dan tak mengutamakan guru dah murid, tapi boleh utama Ahli Parlimen. Sedangkan Parlimen diarah tutup dan seko…"

"
2021-04-25 12:34:13",khairelladam,"RT @JKJAVMY: Jumlah terkini pemberian vaksin dos 1 dan dos 2. 

Daftar untuk vaksinasi sekarang: https://t.co/m1joWOB4OE

#LindungDiriLindu…"

"
2021-04-25 12:33:58",mulyxni,"RT @aliffnaif_: Vaksin lambat dan tak mengutamakan guru dah murid, tapi boleh utama Ahli Parlimen. Sedangkan Parlimen diarah tutup dan seko…"

"
2021-04-25 12:33:44",lilyfazrina,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:33:39",fendijer,"Penat diorang belajar kat U , course tu dah la susah. Tapi bila sampai bab vaksin korang tanya kat ustaz🤣

Virologi… https://t.co/szyWPAxjd4"

"
2021-04-25 12:33:38",PandaMelayu,"RT @SonOfMazalan: Asia Sentinel sebut Agong simpan vaksin.
Hari 1: Nak guillotine dan jadi republik.
Hari 2: Nak jadi Hang Jebat.
Hari 3: A…"

"
2021-04-25 12:33:37",junepenguinn,"Kalau F3 225.000
Kalau di klinik swasta gatau dehhhh btw vaksin rabiesnya gratis juga"

"
2021-04-25 12:33:36",fendijer,"Tu jer laa. Ada banyak faktor lagi. Tapi cukup² la tu. Cari la sendiri. 

Janji korang jangan tanya Ustaz pasal vak… https://t.co/iC6TrFj5tc"

"
2021-04-25 12:33:36",jemapelleiche,"RT @rykarlsen: Kelar vaksin di sini: 
Mari kita pulang.

Kelar vaksin di New York: 
1. Ke Kr*spy Krem* antri donat gratis.
2. Atau ngeganja…"

"
2021-04-25 12:33:36",fendijer,"Sekarang dah pakai protein virus yang diubah suai. 

Jauh beza dia tu. 

Jadi , semakin tinggi teknologi = semakin… https://t.co/3IbiHPhQKz"

"
2021-04-25 12:33:36",fendijer,RAM lagi tinggi dari komputer yang hantar manusia pergi ke bulan. Skrin refresh rate lagi laju dari kemampuan mata… https://t.co/GF7k0Lw883

"
2021-04-25 12:33:35",fendijer,Sama sekarang ni. Diorang berlumba² nak hasilkan vaksin sebab nak tunjukkan dekat dunia yang diorang ni hebat. Ini… https://t.co/l16vLeOrUJ

"
2021-04-25 12:33:33",fendijer,"Tak yah cakap laa. Melimpah tabung dana penyelidikan covid tu. 

Sebab apa ? Sebab ramai yang kena covid? Sebab apa… https://t.co/N4XnZgUWRj"

"
2021-04-25 12:33:33",fendijer,"2) DANA !

Semua benda perlukan duit oii. Nak masuk tandas awam pon perlukan duit. Nak buat penyelidikan pasal vaks… https://t.co/85hkKvA2Rt"

"
2021-04-25 12:33:32",fendijer,"Nampak tak yang mana lagi cepat merebak antara 3 virus ni ? Mestilah covid. 

Lagi mudah merebak = lagi bahaya

Sim… https://t.co/6O0qoN1HJM"

"
2021-04-25 12:33:30",fendijer,"Sebab apa vaksin wuhanvirus ni cepat dibuat ? Soalan ni boleh dijawab dengan satu carian di google jer pon.

Banyak… https://t.co/cofheaYodN"

"
2021-04-25 12:33:29",fendijer,First of all. Bagus laa cepat dia buat. Takkan la nak tinggu 5 ke 10 tahun baru dia buat? Sanggup ke tunggu 10 tahu… https://t.co/qbmLWIBkfH

"
2021-04-25 12:33:29",fendijer,"Aku sebenarnya sedih dan agak kecewa jugak bila ada ""influencer"" IG ni menyebarkan fahaman anti vaksin dia tu. Buat… https://t.co/UFCmTsFy7O"

"
2021-04-25 12:33:25",RosliPasirPuteh,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:33:19",levisooi,"RT @aIahsiaboy: OPEN ADOPT FREE
LEPAS ADOPSI FREE

- domisili tangerang kabupaten
- kucing mixdome jantan dewasa
- sudah vaksin, sudah ster…"

"
2021-04-25 12:33:18",RosliPasirPuteh,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

